[GC (Allocation Failure) [PSYoungGen: 524800K->87036K(611840K)] 524800K->142465K(2010112K), 0.0397124 secs] [Times: user=0.03 sys=0.16, real=0.04 secs]
[GC (Allocation Failure) [PSYoungGen: 611836K->87026K(611840K)] 667265K->253364K(2010112K), 0.0499297 secs] [Times: user=0.03 sys=0.18, real=0.05 secs]
[GC (Allocation Failure) [PSYoungGen: 611826K->87024K(611840K)] 778164K->367046K(2010112K), 0.0376325 secs] [Times: user=0.04 sys=0.16, real=0.04 secs]
[GC (Allocation Failure) [PSYoungGen: 611824K->87039K(611840K)] 891846K->489823K(2010112K), 0.0412578 secs] [Times: user=0.05 sys=0.14, real=0.04 secs]
[GC (Allocation Failure) [PSYoungGen: 611839K->87030K(611840K)] 1014623K->600965K(2010112K), 0.0583301 secs] [Times: user=0.06 sys=0.12, real=0.06 secs]
[GC (Allocation Failure) [PSYoungGen: 611830K->87036K(324096K)] 1125765K->706007K(1722368K), 0.0400056 secs] [Times: user=0.05 sys=0.11, real=0.04 secs]
[GC (Allocation Failure) [PSYoungGen: 324092K->148348K(385536K)] 943063K->772208K(1783808K), 0.0099966 secs] [Times: user=0.06 sys=0.01, real=0.01 secs]
[GC (Allocation Failure) [PSYoungGen: 385404K->179462K(469504K)] 1009264K->818668K(1867776K), 0.0136568 secs] [Times: user=0.07 sys=0.01, real=0.01 secs]
[GC (Allocation Failure) [PSYoungGen: 416006K->193310K(465920K)] 1055212K->863362K(1864192K), 0.0164185 secs] [Times: user=0.07 sys=0.03, real=0.01 secs]
[GC (Allocation Failure) [PSYoungGen: 429518K->140331K(464384K)] 1099570K->903122K(1862656K), 0.0342750 secs] [Times: user=0.05 sys=0.09, real=0.04 secs]
